Team Name,Discord 1,Discord 2,Discord 3,Discord 4
CurveMetrics,Harshit#2120,jai#8319,Prakhar Khanna#3838,Smiti#8879
hindustan,motherprakhar4329,simplybr#7689,priyal9087,
Happy Childern,Manveer#4093,Smriddhi Sahni#1964,Sukhman Singh#5956,gabbar#1471
